;Unnamed: 0;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
0;0;P0001;128.30.13.4;NOGOYA;3615;0,0;22,0;2022-12-16 10:32:37.689836;en desarrollo;208914 
1;1;P0002;128.75.13.2;FEDERAL;3615;0,0;31,0;2022-12-16 10:32:37.920651;en desarrollo;41823 
2;2;P0003;128.74.13.2;FELICIANO;B405;11003,0;;2022-12-16 09:21:11.988060;0;0
3;3;P0004;128.43.13.14;SANTA ELENA;3615;0,0;30,0;2022-12-16 10:32:38.159998;en desarrollo;42260 
4;4;P0005;128.0.13.121;PARANA;3615;0,0;1,0;2022-12-16 10:32:38.291641;en desarrollo;119256 
5;5;P0006;128.24.13.2;DIAMANTE;B405;0,0;20,0;2022-12-16 10:32:38.293635;Falta SCRAP;0
6;6;P0007;;desconocido;;;;2022-12-16 09:21:23.460831;0;0
7;7;P0008;128.20.13.19;CRESPO;3615;0,0;27,0;2022-12-16 10:32:38.481427;en desarrollo;157397 
8;8;P0009;128.0.13.167;PARANA;3615;0,0;1,0;2022-12-16 10:32:38.605719;en desarrollo;106265 
9;9;P0010;128.0.13.100;PARANA;3615;0,0;1,0;2022-12-16 10:32:38.724687;en desarrollo;16792 
10;10;P0011;128.0.13.79;PARANA;B405;0,0;0,0;2022-12-16 10:32:38.725684;Falta SCRAP;0
11;11;P0012;128.43.13.15;SANTA ELENA;3320;0,0;32,0;2022-12-16 10:32:38.856849;" ""3222118149      """; 91502
12;12;P0013;128.0.13.127;PARANA;3320;0,0;5,0;2022-12-16 10:32:38.929491;" ""3222115557      """; 15085
13;13;P0014;128.20.13.16;CRESPO;B400;0,0;107,0;2022-12-16 10:32:38.931472;Falta SCRAP;0
14;14;P0015;128.80.13.2;SAN SALVADOR;B400;0,0;69,0;2022-12-16 10:32:38.934462;Falta SCRAP;0
15;15;P0016;128.20.13.17;CRESPO;B400;0,0;39,0;2022-12-16 10:32:38.936458;Falta SCRAP;0
16;16;P0017;128.0.13.17;PARANA;3320;0,0;7,0;2022-12-16 10:32:39.004278;" ""3222113678      """; 16577
17;17;P0018;128.0.13.126;PARANA;7845;0,0;4,0;2022-12-16 10:32:39.142818;en desarrollo;242948
18;18;P0019;;desconocido;;;;2022-12-16 09:21:26.199583;0;0
19;19;P0020;128.80.13.150;SAN SALVADOR;3260;11003,0;;2022-12-16 09:21:29.249637;0;0
20;20;P0021;128.74.13.21;FELICIANO;B400;11003,0;;2022-12-16 09:21:32.286212;0;0
21;21;P0022;;desconocido;;;;2022-12-16 09:21:34.566272;0;0
22;22;P0023;128.73.13.5;FEDERACION;3260;11003,0;;2022-12-16 09:21:37.599365;0;0
23;23;P0024;128.20.13.18;CRESPO;3610;0,0;40,0;2022-12-16 10:32:40.311519;en desarrollo;9835 
24;24;P0025;;desconocido;;;;2022-12-16 09:21:49.011763;0;0
25;25;P0026;;desconocido;;;;2022-12-16 09:21:51.324748;0;0
26;26;P0027;128.0.13.27;PARANA;7225;0,0;3,0;2022-12-16 10:32:40.600991;en desarrollo;109081
27;27;P0028;128.0.13.28;PARANA;7225;0,0;6,0;2022-12-16 10:32:41.177781;en desarrollo;312088
28;28;P0029;128.40.13.10;MARIA GRANDE;3615;0,0;20,0;2022-12-16 10:32:41.339952;en desarrollo;52411 
29;29;P0030;128.40.13.12;MARIA GRANDE;3320;0,0;20,0;2022-12-16 10:32:41.416660;" ""3223557022      """; 160935
30;30;P0031;128.40.13.14;MARIA GRANDE;3320;0,0;23,0;2022-12-16 10:32:41.497502;" ""3223556760      """; 32383
