OBLEA;IP;LOCALIDAD;MODELO
P0001;128.30.13.4;NOGOYA;3615
P0002;128.75.13.2;FEDERAL;3615
P0003;128.74.13.2;FELICIANO;B405
P0004;128.43.13.14;SANTA ELENA;3615
P0005;128.0.13.121;PARANA;3615
P0006;128.24.13.2;DIAMANTE;B405
P0007;;desconocido;
P0008;128.20.13.19;CRESPO;3615
P0009;128.0.13.167;PARANA;3615
P0010;128.0.13.100;PARANA;3615
P0011;128.0.13.79;PARANA;B405
P0012;128.43.13.15;SANTA ELENA;3320
P0013;128.0.13.127;PARANA;3320
P0014;128.20.13.16;CRESPO;B400
P0015;128.80.13.2;SAN SALVADOR;B400
P0016;128.20.13.17;CRESPO;B400
P0017;128.0.13.17;PARANA;3320
P0018;128.0.13.126;PARANA;7845
P0019;;desconocido;
P0020;128.80.13.150;SAN SALVADOR;3260
P0021;128.74.13.21;FELICIANO;B400
P0022;;desconocido;
P0023;128.73.13.5;FEDERACION;3260
P0024;128.20.13.18;CRESPO;3610
P0025;;desconocido;
P0026;;desconocido;
P0027;128.0.13.27;PARANA;7225
P0028;128.0.13.28;PARANA;7225
P0029;128.40.13.10;MARIA GRANDE;3615
P0030;128.40.13.12;MARIA GRANDE;3320
P0031;128.40.13.14;MARIA GRANDE;3320
P0032;128.75.13.10;FEDERAL;B400
P0033;128.83.13.10;LOS CHARRUAS;3615
P0034;128.73.13.12;FEDERACION;B405
P0035;128.70.13.40;CHAJARI;3615
P0036;128.70.13.42;CHAJARI;B400
P0037;128.70.13.44;CHAJARI;B400
P0038;128.70.13.46;CHAJARI;B400
P0039;128.70.13.48;CHAJARI;B400
P0040;128.50.13.68;URUGUAY;8900
P0041;128.50.13.60;URUGUAY;3615
P0042;128.50.13.61;URUGUAY;3615
P0043;128.50.13.62;URUGUAY;3615
P0044;128.50.13.63;URUGUAY;3610
P0045;128.50.13.64;URUGUAY;B400
P0046;128.50.13.69;URUGUAY;B400
P0047;128.50.13.66;URUGUAY;B400
P0048;128.50.13.67;URUGUAY;B400
P0049;128.30.13.6;NOGOYA;8880
P0050;128.50.13.74;URUGUAY;3260
P0051;128.61.13.30;ROSARIO DEL TALA;3615
P0052;128.61.13.31;ROSARIO DEL TALA;3320
P0053;128.60.13.10;BASAVILBASO;3615
P0054;128.60.13.12;BASAVILBASO;3320
P0055;128.60.13.14;BASAVILBASO;3320
P0056;128.60.13.16;BASAVILBASO;3320
P0057;128.24.13.4;DIAMANTE;3260
P0058;128.81.13.10;VILLAGUAY;3615
P0059;128.81.13.12;VILLAGUAY;3320
P0060;128.81.13.14;VILLAGUAY;3320
P0061;128.81.13.16;VILLAGUAY;3320
P0062;128.30.13.8;NOGOYA;B400
P0063;128.30.13.10;NOGOYA;B400
P0064;128.30.13.12;NOGOYA;B400
P0065;128.30.13.14;NOGOYA;B400
P0066;128.30.13.16;NOGOYA;B400
P0067;128.0.13.2;PARANA;3320
P0068;128.0.13.4;PARANA;3320
P0069;128.0.13.6;PARANA;3320
P0070;128.0.13.8;PARANA;3320
P0071;128.0.13.10;PARANA;3320
P0072;128.0.13.51;PARANA;3320
P0073;128.0.13.13;PARANA;3320
P0074;128.0.13.14;PARANA;3320
P0075;128.0.13.16;PARANA;3320
P0076;128.0.13.62;PARANA;3320
P0077;128.0.13.19;PARANA;3320
P0078;128.0.13.22;PARANA;B400
P0079;128.91.13.10;GUALEGUAYCHU;3320
P0080;128.0.13.24;PARANA;B400
P0081;128.0.13.25;PARANA;B400
P0082;128.0.13.64;PARANA;B400
P0083;128.74.13.30;FELICIANO;B400
P0084;128.0.13.29;PARANA;3320
P0085;128.0.13.30;PARANA;B400
P0086;128.0.13.31;PARANA;B400
P0087;128.0.13.32;PARANA;B400
P0088;128.0.13.34;PARANA;B400
P0089;128.0.13.37;PARANA;B400
P0090;;desconocido;
P0091;128.0.13.55;PARANA;3320
P0092;128.0.13.40;PARANA;B400
P0093;128.0.13.41;PARANA;3320
P0094;128.0.13.44;PARANA;3320
P0095;128.51.13.10;COLON;3615
P0096;128.51.13.12;COLON;B400
P0097;128.51.13.14;COLON;B400
P0098;128.83.13.5;LOS CHARRUAS;3260
P0099;128.0.13.59;PARANA;3320
P0100;128.35.13.10;VICTORIA;B405
P0101;128.35.13.12;VICTORIA;B400
P0102;128.35.13.14;VICTORIA;B400
P0103;128.96.13.10;PARANACITO;3615
P0104;128.96.13.12;PARANACITO;3320
P0105;128.96.13.14;PARANACITO;3260
P0106;128.90.13.10;GUALEGUAY;B405
P0107;128.90.13.12;GUALEGUAY;3320
P0108;128.90.13.14;GUALEGUAY;3320
