;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
0;P0001;128.30.13.4;NOGOYA;3615;0,0;22,0;2022-12-16 09:21:08.898285;0;0
1;P0002;128.75.13.2;FEDERAL;3615;0,0;31,0;2022-12-16 09:21:08.942215;0;0
2;P0003;128.74.13.2;FELICIANO;B405;11003,0;;2022-12-16 09:21:11.988060;0;0
3;P0004;128.43.13.14;SANTA ELENA;3615;0,0;30,0;2022-12-16 09:21:12.052661;0;0
4;P0005;128.0.13.121;PARANA;3615;0,0;1,0;2022-12-16 09:21:12.065493;0;0
5;P0006;128.24.13.2;DIAMANTE;B405;0,0;20,0;2022-12-16 09:21:12.097301;0;0
6;P0007;;desconocido;;;;2022-12-16 09:21:23.460831;0;0
7;P0008;128.20.13.19;CRESPO;3615;0,0;27,0;2022-12-16 09:21:23.499613;0;0
8;P0009;128.0.13.167;PARANA;3615;0,0;1,0;2022-12-16 09:21:23.510715;0;0
9;P0010;128.0.13.100;PARANA;3615;0,0;1,0;2022-12-16 09:21:23.524499;0;0
10;P0011;128.0.13.79;PARANA;B405;0,0;0,0;2022-12-16 09:21:23.539452;0;0
11;P0012;128.43.13.15;SANTA ELENA;3320;0,0;32,0;2022-12-16 09:21:23.586328;0;0
12;P0013;128.0.13.127;PARANA;3320;0,0;5,0;2022-12-16 09:21:23.603334;0;0
13;P0014;128.20.13.16;CRESPO;B400;0,0;107,0;2022-12-16 09:21:23.724184;0;0
14;P0015;128.80.13.2;SAN SALVADOR;B400;0,0;69,0;2022-12-16 09:21:23.805833;0;0
15;P0016;128.20.13.17;CRESPO;B400;0,0;39,0;2022-12-16 09:21:23.881514;0;0
16;P0017;128.0.13.17;PARANA;3320;0,0;7,0;2022-12-16 09:21:23.902863;0;0
17;P0018;128.0.13.126;PARANA;7845;0,0;4,0;2022-12-16 09:21:23.918118;0;0
18;P0019;;desconocido;;;;2022-12-16 09:21:26.199583;0;0
19;P0020;128.80.13.150;SAN SALVADOR;3260;11003,0;;2022-12-16 09:21:29.249637;0;0
20;P0021;128.74.13.21;FELICIANO;B400;11003,0;;2022-12-16 09:21:32.286212;0;0
21;P0022;;desconocido;;;;2022-12-16 09:21:34.566272;0;0
22;P0023;128.73.13.5;FEDERACION;3260;11003,0;;2022-12-16 09:21:37.599365;0;0
23;P0024;128.20.13.18;CRESPO;3610;0,0;40,0;2022-12-16 09:21:37.651919;0;0
24;P0025;;desconocido;;;;2022-12-16 09:21:49.011763;0;0
25;P0026;;desconocido;;;;2022-12-16 09:21:51.324748;0;0
26;P0027;128.0.13.27;PARANA;7225;0,0;3,0;2022-12-16 09:21:51.359247;0;0
27;P0028;128.0.13.28;PARANA;7225;0,0;6,0;2022-12-16 09:21:51.377907;0;0
28;P0029;128.40.13.10;MARIA GRANDE;3615;0,0;20,0;2022-12-16 09:21:51.411775;0;0
29;P0030;128.40.13.12;MARIA GRANDE;3320;0,0;20,0;2022-12-16 09:21:51.444519;0;0
30;P0031;128.40.13.14;MARIA GRANDE;3320;0,0;23,0;2022-12-16 09:21:51.505213;0;0
31;P0032;128.75.13.10;FEDERAL;B400;0,0;30,0;2022-12-16 09:21:51.558843;0;0
32;P0033;128.83.13.10;LOS CHARRUAS;3615;0,0;53,0;2022-12-16 09:21:51.624171;0;0
33;P0034;128.73.13.12;FEDERACION;B405;0,0;20,0;2022-12-16 09:21:51.678652;0;0
34;P0035;128.70.13.40;CHAJARI;3615;0,0;17,0;2022-12-16 09:21:51.719613;0;0
35;P0036;128.70.13.42;CHAJARI;B400;0,0;20,0;2022-12-16 09:21:51.762452;0;0
36;P0037;128.70.13.44;CHAJARI;B400;0,0;16,0;2022-12-16 09:21:51.813711;0;0
37;P0038;128.70.13.46;CHAJARI;B400;0,0;16,0;2022-12-16 09:21:51.845310;0;0
38;P0039;128.70.13.48;CHAJARI;B400;0,0;15,0;2022-12-16 09:21:51.873202;0;0
39;P0040;128.50.13.68;URUGUAY;8900;0,0;11,0;2022-12-16 09:21:51.894462;0;0
40;P0041;128.50.13.60;URUGUAY;3615;0,0;44,0;2022-12-16 09:21:51.952440;0;0
41;P0042;128.50.13.61;URUGUAY;3615;0,0;12,0;2022-12-16 09:21:51.981445;0;0
42;P0043;128.50.13.62;URUGUAY;3615;0,0;12,0;2022-12-16 09:21:52.004541;0;0
43;P0044;128.50.13.63;URUGUAY;3610;0,0;12,0;2022-12-16 09:21:52.028697;0;0
44;P0045;128.50.13.64;URUGUAY;B400;0,0;12,0;2022-12-16 09:21:52.051517;0;0
45;P0046;128.50.13.69;URUGUAY;B400;0,0;12,0;2022-12-16 09:21:52.077492;0;0
46;P0047;128.50.13.66;URUGUAY;B400;0,0;12,0;2022-12-16 09:21:52.100403;0;0
47;P0048;128.50.13.67;URUGUAY;B400;0,0;26,0;2022-12-16 09:21:52.139531;0;0
48;P0049;128.30.13.6;NOGOYA;8880;0,0;21,0;2022-12-16 09:21:52.172296;0;0
49;P0050;128.50.13.74;URUGUAY;3260;11003,0;;2022-12-16 09:21:55.191376;0;0
50;P0051;128.61.13.30;ROSARIO DEL TALA;3615;0,0;18,0;2022-12-16 09:21:55.225302;0;0
51;P0052;128.61.13.31;ROSARIO DEL TALA;3320;11003,0;;2022-12-16 09:21:58.247666;0;0
52;P0053;128.60.13.10;BASAVILBASO;3615;0,0;17,0;2022-12-16 09:21:58.282573;0;0
53;P0054;128.60.13.12;BASAVILBASO;3320;0,0;20,0;2022-12-16 09:21:58.323828;0;0
54;P0055;128.60.13.14;BASAVILBASO;3320;0,0;27,0;2022-12-16 09:21:58.372060;0;0
55;P0056;128.60.13.16;BASAVILBASO;3320;0,0;32,0;2022-12-16 09:21:58.442762;0;0
56;P0057;128.24.13.4;DIAMANTE;3260;11003,0;;2022-12-16 09:22:01.486846;0;0
57;P0058;128.81.13.10;VILLAGUAY;3615;11003,0;;2022-12-16 09:22:04.541261;0;0
58;P0059;128.81.13.12;VILLAGUAY;3320;0,0;42,0;2022-12-16 09:22:04.595343;0;0
