;OBLEA;IP;MODELO;PROCESAR;PING;TTL;FECHA;CONTADOR;CONTADORBYN;CONTADORCOL;N_SERIE
0;D125;128.0.13.69;D125;False;0,0;1,0;2022-12-29 08:56:47.914971;0;0;0;0
1;P0001;128.30.13.4;3615;True;11010,0;;2022-12-29 08:56:51.932743;0;0;0;0
2;P0002;128.75.13.2;3615;True;0,0;31,0;2022-12-29 08:56:51.977726;0;0;0;0
3;P0003;128.74.13.2;B405;True;0,0;53,0;2022-12-29 08:56:52.049773;0;0;0;0
4;P0004;128.43.13.14;3615;True;0,0;17,0;2022-12-29 08:56:52.104268;0;0;0;0
5;P0005;128.0.13.121;3615;True;0,0;3,0;2022-12-29 08:56:52.119019;0;0;0;0
6;P0006;128.24.13.2;B405;True;0,0;20,0;2022-12-29 08:56:52.151760;0;0;0;0
7;P0007;0;0;False;11003,0;;2022-12-29 08:56:54.929945;0;0;0;0
8;P0008;128.20.13.19;3615;True;0,0;52,0;2022-12-29 08:56:54.996611;0;0;0;0
9;P0009;128.0.13.167;3615;True;0,0;5,0;2022-12-29 08:56:55.013804;0;0;0;0
10;P0010;128.0.13.100;3615;True;0,0;2,0;2022-12-29 08:56:55.027528;0;0;0;0
11;P0011;128.0.13.79;B405N;True;0,0;4,0;2022-12-29 08:56:55.043411;0;0;0;0
12;P0012;128.43.13.15;3320;True;0,0;19,0;2022-12-29 08:56:55.074752;0;0;0;0
13;P0013;128.0.13.127;3320;True;0,0;5,0;2022-12-29 08:56:55.091203;0;0;0;0
14;P0014;128.20.13.16;B400;True;0,0;19,0;2022-12-29 08:56:55.121341;0;0;0;0
15;P0015;128.80.13.2;B400;True;0,0;53,0;2022-12-29 08:56:55.186627;0;0;0;0
16;P0016;128.20.13.17;B400;True;0,0;17,0;2022-12-29 08:56:55.218273;0;0;0;0
17;P0017;128.0.13.17;3320;True;0,0;7,0;2022-12-29 08:56:55.236947;0;0;0;0
18;P0019;0;0;False;;;2022-12-29 08:57:06.583627;0;0;0;0
